Kabupaten_Kota,rasio_dokter_umum,rasio_dokter_spesialis,rasio_dokter_gigi,rasio_perawat,rasio_bidan,rasio_kefarmasian,rasio_kesmas,rasio_lingkungan,rasio_gizi,cluster,label_cluster
Bogor,31.9589,20.8014,8.5177,88.4853,35.7074,14.29,4.8396,2.0414,3.3965,0,Rendah
Sukabumi,20.1554,9.1937,3.5714,82.1423,52.192,9.8656,2.7228,2.6167,2.546,0,Rendah
Cianjur,23.0949,7.5822,3.4816,69.3233,57.4083,7.4275,3.3269,1.9342,2.205,0,Rendah
Bandung,26.9642,12.6561,6.7411,74.125,26.5113,12.8959,4.7427,2.7444,3.7569,0,Rendah
Garut,24.8072,8.7966,4.1591,93.9289,57.3805,11.8147,7.7293,2.5764,3.2389,0,Rendah
Tasikmalaya,20.2507,2.1344,2.7591,60.0754,65.5415,6.0908,8.3293,2.3426,3.4359,0,Rendah
Ciamis,23.2682,8.1002,4.2089,95.1375,57.8925,14.6915,9.4502,3.8119,5.2413,0,Rendah
Kuningan,29.491,16.7225,6.8373,127.4373,88.2258,25.784,8.5672,4.9426,6.0959,0,Rendah
Cirebon,28.5599,24.7073,7.2028,148.2018,72.4049,21.9434,6.7422,4.1039,7.8728,0,Rendah
Majalengka,32.9011,12.5689,5.9148,99.8122,81.846,13.3822,8.3547,3.9925,5.6191,0,Rendah
Sumedang,39.7598,16.1735,8.7606,107.9915,73.2018,15.0784,9.8557,4.633,5.3069,0,Rendah
Indramayu,26.4362,13.0091,7.3666,100.5204,65.4636,12.121,6.2695,4.4931,3.8139,0,Rendah
Subang,30.9652,7.9367,4.4494,88.0252,60.4873,11.3038,4.3892,3.307,3.8481,0,Rendah
Purwakarta,47.0324,30.4663,8.5687,169.7546,49.0317,23.8018,7.5214,3.7131,5.522,0,Rendah
Karawang,48.3483,29.4396,10.296,147.2764,64.1251,22.5887,4.3455,2.3489,4.9719,0,Rendah
Bekasi,60.4789,43.0683,14.8448,149.1812,55.1641,23.5807,2.5963,2.9323,5.1315,0,Rendah
Bandung Barat,26.2712,13.2683,7.0587,73.0818,43.3608,12.1538,4.4581,3.1844,3.8743,0,Rendah
Pangandaran,26.9523,5.068,5.2983,119.5577,97.443,21.1933,26.722,11.9788,10.827,2,Sedang
Kota Bogor,87.4484,95.3308,39.5975,280.9848,54.9914,39.3193,16.5067,6.4914,9.8298,1,Tinggi
Kota Sukabumi,73.2761,43.2001,15.3114,331.3829,81.4786,39.3722,7.9291,7.6557,10.6633,1,Tinggi
Kota Bandung,130.7275,105.9268,27.4508,345.6664,48.652,63.7222,11.3521,6.0518,10.3633,1,Tinggi
Kota Cirebon,114.5426,106.1331,35.6677,479.6288,132.8114,86.9943,26.6783,14.789,21.4586,3,Sangat Tinggi
Kota Bekasi,64.2951,72.3887,26.2475,211.4551,51.2469,5.0301,4.8789,3.6686,8.1314,1,Tinggi
Kota Depok,78.5251,73.3486,31.1512,185.2896,36.8361,39.2856,8.0882,3.605,5.8697,1,Tinggi
Kota Cimahi,94.7052,66.4774,36.5793,314.1807,49.9415,33.9068,8.5185,5.5119,8.1844,1,Tinggi
Kota Tasikmalaya,60.8741,37.6966,16.5173,213.2591,68.9995,29.3048,13.3204,5.1949,9.9903,1,Tinggi
Kota Banjar,71.0234,42.4234,11.9167,272.1769,102.9601,44.8067,35.75,11.44,14.7767,2,Sedang
